Date,AAPL,AMZN,GOOGL,MSFT,SPY,MKT,SMB,HML,RMW,CMA,RF
2017-02-23,-0.004239407741396017,-0.004005102457664227,-0.00042297884486058813,0.004031384659065647,0.0006771868485983918,-0.11,-0.72,0.25,-0.25,-0.45,0.002
2017-02-24,0.0009518316955522545,-0.008188892182268277,-0.003755577436803157,0.0,0.001267734521974799,0.15,-0.11,-0.98,0.33,-0.23,0.002
2017-02-27,0.001973531948370029,0.004014414167614488,0.0021915393632204218,-0.0060534794225867205,0.0015617462658017956,0.22,0.85,-0.33,-0.38,-0.15,0.002
2017-02-28,0.00043836568001584503,-0.004251111904897895,-0.005594333667226501,-0.0038998336854233658,-0.0027028100990002368,-0.42,-1.36,0.16,-0.01,-0.2,0.002
2017-03-01,0.020232945435084984,0.009469376476098914,0.013892457472741765,0.014893288068715068,0.01390062102700591,1.47,0.52,0.77,-0.54,0.54,0.001
2017-03-02,-0.005955152890504145,-0.0049001540247000505,-0.008086325869650154,-0.014424548411331103,-0.006317356175566421,-0.7,-0.54,-0.9,0.63,-0.43,0.001
2017-03-03,0.005883704886758557,0.001141990874290171,-0.0009064939144106817,0.003742287417033783,0.0006294169559316612,0.09,-0.18,0.14,-0.06,-0.1,0.001
2017-03-06,-0.0031526478811264415,-0.0038549741001917565,-0.002133991574955077,0.00031129078060209694,-0.0029826500567202855,-0.38,-0.41,-0.08,-0.05,0.01,0.001
2017-03-07,0.0012909797235097285,-0.0006972077716298652,0.0045689661465436945,0.0020208377038118575,-0.0029909904847412855,-0.36,-0.35,-0.06,0.1,-0.25,0.001
2017-03-08,-0.0037340013057325623,0.00528147875098045,0.0029211894933892577,0.009119721926111688,-0.0018583231630747367,-0.19,-0.19,-0.83,0.44,-0.75,0.001
2017-03-09,-0.0023049595893947037,0.0029351355505987326,0.004908021412192041,-0.00400864382894709,0.0012670190158490119,0.04,-0.53,-0.23,-0.58,-0.14,0.001
2017-03-10,0.003311549641655803,-0.0006332702571133847,0.004153006030783969,0.0030848988335542824,0.003498386590195924,0.34,0.06,-0.48,0.27,0.04,0.001
2017-03-13,0.0004314044913828302,0.0024955044641490533,0.003673273900856671,-0.003394041364703892,0.0005047211490199054,0.13,0.32,-0.07,-0.12,0.04,0.001
2017-03-14,-0.001509966220703348,-0.002413437651246342,0.001537174537674889,-0.004646705218693827,-0.0038339095267485137,-0.36,-0.22,0.0,0.5,-0.25,0.001
2017-03-15,0.010520914475779939,0.0005159627137938516,0.002859870124282364,0.005264637723929723,0.008616133805948886,0.86,0.7,-0.46,-0.12,0.5,0.001
2017-03-16,0.0016362781029950805,0.0005274972239583946,0.001852324987037812,-0.001700201863949138,-0.001969020821494463,-0.06,0.44,0.22,-0.15,-0.36,0.001
2017-03-17,-0.00498822932008525,-0.0013014964034150063,0.002720428594925796,0.0035520323117508097,-0.0017576325260647721,-0.08,0.58,-0.33,0.15,0.02,0.001
2017-03-20,0.010445804651694488,0.005452552411117806,-0.005125613375523102,0.0009242784116662156,-0.001097506421369147,-0.25,-0.2,-0.72,-0.15,-0.05,0.001
2017-03-21,-0.011518164629039367,-0.01619872160184447,-0.020686985781784142,-0.01115065385933403,-0.012922632845024299,-1.48,-1.41,-0.71,0.86,0.29,0.001
2017-03-22,0.011235716719096333,0.005747210959233595,-0.00039997390290651125,0.01268960585243214,0.0023504927304654373,0.16,-0.33,-0.57,0.16,-0.16,0.001
2017-03-23,-0.003541870334363013,-0.0008021610628207483,-0.012015972457038612,-0.0024632304047644883,-0.001067600825773842,-0.03,0.74,0.49,-0.03,0.2,0.001
2017-03-24,-0.001988610646913948,-0.002090999023365736,-0.00538571998977616,0.00169430656259452,-0.0007265937017311217,-0.05,0.11,-0.21,-0.27,-0.32,0.001
2017-03-27,0.0017046162357972079,0.0014299228988936064,0.004027107765453819,0.0018446421882914313,-0.0010268692703183306,-0.05,0.47,-0.49,-0.21,-0.27,0.001
2017-03-28,0.02051488563066119,0.010782210376272581,0.002525170337662189,0.002914087405746455,0.007250359360713957,0.72,-0.05,0.72,0.05,0.39,0.001
2017-03-29,0.0022230960455713275,0.021176073977231178,0.010931738026190558,0.0027536255278032616,0.0009343454324477596,0.18,0.33,-0.09,-0.25,0.12,0.001
2017-03-30,-0.0013194771628405961,0.0023077418398893506,-0.0004590162837421801,0.003658732276279774,0.0031792025839792407,0.36,0.42,0.92,-0.06,-0.16,0.001
2017-03-31,-0.0018774596295570208,0.011572064053437572,-0.001979630062034243,0.002280370730996797,-0.0023301835632446766,-0.16,0.55,-0.32,0.04,0.08,0.001
2017-04-03,0.00027838574899367304,0.005590427057615806,0.010501451854827907,-0.004717889511552271,-0.0017408055816824349,-0.28,-1.15,-0.08,-0.15,-0.06,0.003
2017-04-04,0.0074185098351203455,0.0170383214046624,-0.004890834765663116,0.0027420840362684254,0.0006369985899527442,0.05,-0.24,0.32,-0.08,0.2,0.003
2017-04-05,-0.0051938689076016205,0.002698106338604271,-0.004302201644828759,-0.0025898306622436176,-0.0029771377845011597,-0.44,-0.83,-0.3,0.46,-0.1,0.003
2017-04-06,-0.0025030266765125736,-0.012171236662741317,-0.004498171136114011,0.002589830662243732,0.002807510600203786,0.32,0.74,0.48,-0.13,0.37,0.003
2017-04-07,-0.0022299943874641097,-0.003792236846299923,-0.0035562276642875446,-0.0007609853613832796,-0.0010201207158680337,-0.08,0.07,-0.26,0.01,-0.05,0.003
2017-04-10,-0.0011864498293967986,0.013496957340826888,-0.00047512670070470295,-0.002286309879216537,0.0005952333754098122,0.08,0.14,0.07,0.19,0.49,0.003
2017-04-11,-0.010814927002242502,-0.005173022622662573,-0.002164622327955912,-0.0007633087319144211,-0.0011906751004284574,-0.05,0.8,0.23,0.21,0.19,0.003
